code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price,P/E,EPS,DY,52w low,52w high,P/E min,P/E max,P/E mid,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg
5819,HONG LEONG BANK BERHAD,Banking,2020-06-01,10,1.5,16.66,6.51,18.66,15.0,1.26,1.93,14.0,19.68,11.54,14.91,13.22,5.17,5.17,-0.04,6.77
2852,CAHYA MATA SARAWAK BERHAD,Building Materials,2020-12-01,10,1.5,4.34,2.52,1.11,5.0,0.24,1.8,1.06,2.52,11.21,25.0,18.1,10.51,-3.05,-4.94,10.51
3794,MALAYAN CEMENT BERHAD,Building Materials,2018-12-01,10,1.0,-0.33,-0.0,2.85,-39.0,-0.07,0.0,1.77,3.3,-14.48,23.97,4.74,0.0,0.0,0.0,0.0
5000,HUME CEMENT INDUSTRIES BERHAD,Building Materials,2020-06-01,7,0.5,-1.12,-0.0,1.08,-21.0,-0.05,0.0,0.73,1.45,-12.0,57.0,22.5,0.0,0.0,0.0,0.0
5009,WHITE HORSE BERHAD,Building Materials,2020-12-01,10,2.0,-7.06,-0.0,0.69,-4.0,-0.17,0.0,0.565,0.87,-13.91,97.0,41.54,0.0,0.0,0.0,0.0
5021,AYS VENTURES BERHAD,Building Materials,2020-03-01,10,1.0,0.21,0.0,0.38,8.0,0.05,0.0,0.15,0.565,-11.17,19.5,4.16,0.0,0.0,0.0,0.0
5048,YI-LAI BERHAD,Building Materials,2020-12-01,10,1.0,-1.11,0.2,0.54,10.0,0.06,0.0,0.504,0.7859999999999999,-77.5,40.5,-18.5,3.27,0.0,3.27,-2.98
5165,HOCK HENG STONE INDUSTRIES BHD,Building Materials,2020-12-01,9,2.0,0.0,-0.0,0.495,-179.0,-0.0,0.0,0.42,0.63,-50.0,47.0,-1.5,0.0,0.0,0.0,0.0
5273,CHIN HIN GROUP BERHAD,Building Materials,2020-12-01,6,1.0,1.29,0.0,1.21,30.0,0.04,1.1,0.41700000000000004,1.307,17.4,47.0,32.2,0.0,-12.64,-10.59,0.0
5371,KIM HIN INDUSTRY BERHAD,Building Materials,2020-12-01,9,1.0,0.0,0.0,0.83,956.0,0.0,2.41,0.63,1.12,-8.1,23.67,7.79,0.0,0.0,0.0,0.0
5835,DOLOMITE CORPORATION BERHAD,Building Materials,2019-06-01,9,2.5,0.95,0.0,0.04,1.0,0.07,0.0,0.04,0.16,-0.72,28.0,13.64,0.0,0.0,0.0,0.0
6211,KIA LIM BERHAD,Building Materials,2020-12-01,10,1.0,0.28,-0.0,0.485,-7.0,-0.07,0.0,0.155,0.58,-5.75,-2.2,-3.98,0.0,0.0,0.0,0.0
7016,CHUAN HUAT RESOURCES BHD,Building Materials,2018-12-01,10,1.0,0.09,0.01,0.52,37.0,0.01,0.0,0.26,0.725,4.8,12.67,8.74,0.7,0.0,0.7,-10.16
7043,JADE MARVEL GROUP BERHAD,Building Materials,2020-03-01,9,1.0,0.3,0.0,0.805,25.0,0.03,0.0,0.615,1.35,-80.0,100.0,10.0,0.0,0.0,0.0,0.0
7073,SEACERA GROUP BERHAD,Building Materials,2020-06-01,10,1.0,1.02,0.12,0.2,5.0,0.04,0.0,0.165,0.33,6.33,44.75,25.54,3.05,3.05,-7.6,-6.77
7086,ABLEGROUP BERHAD,Building Materials,2020-12-01,8,1.0,0.0,-0.0,0.14,-105.0,-0.0,0.0,0.075,0.3,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0
7115,SKB SHUTTERS CORPORATION BERHAD,Building Materials,2020-06-01,8,2.0,-0.22,0.0,1.88,221.0,0.01,0.0,0.38,1.99,-62.0,17.1,-22.45,0.0,0.0,0.0,0.0
7140,OKA CORPORATION BHD,Building Materials,2020-03-01,10,2.0,0.82,0.47,0.76,12.0,0.06,5.26,0.57,0.89,6.7,20.5,13.6,7.9,-26.98,-6.66,7.9
7162,ASTINO BERHAD,Building Materials,2020-07-01,10,1.5,1.76,0.21,1.35,6.0,0.21,1.11,0.5,1.6669999999999998,6.75,10.0,8.38,1.02,-13.34,2.58,1.02
7165,DWL RESOURCES BERHAD,Building Materials,2020-06-01,7,1.0,0.0,-0.0,0.17,-65.0,-0.0,0.0,0.15,0.395,-30.0,-10.5,-20.25,0.0,0.0,0.0,0.0
7219,MINETECH RESOURCES BERHAD,Building Materials,2020-03-01,10,1.0,-0.0,0.0,0.15,191.0,0.0,0.0,0.14,0.35,-18.0,-2.62,-10.31,0.0,0.0,0.0,0.0
7232,RESINTECH BERHAD,Building Materials,2020-03-01,10,1.0,0.72,0.17,0.52,12.0,0.04,2.4,0.24,0.615,5.08,31.0,18.04,4.25,-22.81,-6.1,4.25
7235,SUPERLON HOLDINGS BERHAD,Building Materials,2020-04-01,10,2.0,1.68,0.43,0.9,11.0,0.08,3.5,0.66,1.05,8.0,34.0,21.0,5.33,-28.63,-1.65,5.33
7239,SCANWOLF CORPORATION BERHAD,Building Materials,2020-06-01,10,1.0,-0.07,-0.0,0.31,-20.0,-0.02,0.0,0.18,0.475,-14.75,22.0,3.62,0.0,0.0,0.0,-14.38
7544,QUALITY CONCRETE HOLDINGS BERHAD,Building Materials,2021-01-01,9,1.0,0.53,-0.0,0.99,-29.0,-0.03,0.0,0.74,1.43,-30.67,-4.41,-17.54,0.0,0.0,0.0,0.0
7609,AJIYA BERHAD,Building Materials,2020-11-01,10,1.0,0.35,0.0,0.53,35.0,0.02,0.0,0.42,0.8,7.12,28.13,17.62,0.0,-55.3,-44.97,-24.77
8117,POLY GLASS FIBRE (M) BERHAD,Building Materials,2020-02-01,10,1.5,1.16,0.28,0.82,16.0,0.05,1.22,0.35,0.915,2.55,44.0,23.28,5.59,-54.3,-9.83,5.59
8419,PANSAR BERHAD,Building Materials,2020-03-01,10,1.5,1.38,0.23,0.635,28.0,0.02,1.18,0.57,1.02,20.75,117.0,68.88,11.32,11.32,-14.72,-4.79
8435,CONCRETE ENGINEERING PRODUCTS BERHAD,Building Materials,2020-08-01,10,1.0,2.12,-0.0,0.815,-3.0,-0.29,0.0,0.45,1.23,-25.0,10.38,-7.31,0.0,0.0,0.0,0.0
9237,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,Building Materials,2019-12-01,7,2.5,3.54,2.32,0.72,6.0,0.12,7.61,0.45,3.08,-83.0,142.0,29.5,19.33,19.33,0.0,0.0
0038,ARTRONIQ BERHAD,Chemicals,2020-12-01,8,1.5,-0.01,-0.0,0.34,-16.0,-0.02,0.0,0.12,1.08,-13.75,14.5,0.38,0.0,0.0,0.0,0.0
