code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price A5,Price A10,Price B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
5156,XIDELANG HOLDINGS LTD,Personal Goods,2018-12-01,10,1.0,-0.0,-0.0,0.0,0.0,0.06,0.04,0.035,0.105,0.7,-22.0,-0.0,-0.0,0.0,0.0,-0.26,1.64,0.0,0.0,10.18,0.91,29.0,14.96,8.93,73.49,68.16,58.35,10.23,22.83,68.16,2.27,0.0,0.0,2.27,0.0,-5.88,-6.81,0.0,-26.65,0.0,0.0,73.49,-34.18,0.0,1,0,0,1+3+5+6+7+8+9+10,+,4+5+6+8+9+10,4,776,454,0.22,0.01,198,59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
5172,K-STAR SPORTS LIMITED,Personal Goods,2020-12-01,10,1.0,0.13,-0.0,-0.08,-0.08,0.37,0.085,0.07,0.98,0.0623,-14.0,-0.01,-11.76,0.0,0.0,-10.11,-13.82,0.41,0.0,-13.5,-25.5,-0.12,-12.81,,0.0,-208.82,238.54,-86.18,-240.47,-208.82,1.11,0.0,0.0,1.11,0.0,-23.95,-15.04,-21.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+5+7+8+9+10,1+2+3+4+5+6+7+8+9,1+2+3+4+5+6+7+8+9+10,4+5+6+7+8+9,1294,133,0.0,-0.01,261,31,-0.1,-0.1,-0.1,-0.08,0,0,0.0,0.0,0.0,0.0,1.0
5247,KAREX BERHAD,Personal Goods,2020-06-01,9,2.5,0.58,0.0,753.04,2.0,0.73,0.485,0.485,1.23,0.45,93.0,0.01,2.06,0.01,2.06,1.16,0.05,0.08,0.05,8.2,34.43,82.0,58.22,56.85,0.0,1.36,0.98,0.41,1.18,0.0,1.06,1.7,1.42,0.0,31.4,3.01,5.79,9.64,-67.14,-34.84,0.0,-80.72,-68.39,-36.16,1,0,1,2+7,+,1+2+3+4,+,189,395,0.01,0.0,5,28,140906.07,1004.05,2.67,105679.55,0,3,0.5,0.0,1.0,0.0,1.0
5295,INNATURE BERHAD,Personal Goods,2020-12-01,5,3.0,0.27,0.0,0.22,0.22,0.5,0.63,0.37,0.76,0.2048,20.0,0.03,4.76,0.02,2.38,15.58,17.86,0.07,0.07,16.45,0.0,17.67,8.84,17.67,0.0,5.66,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,-3.32,0.0,0.0,0.0,0.0,0.0,-5.3,0.0,0.0,1,0,1,1+5,+,1+2+4+5,+,160,155,0.04,0.03,32,36,0.41,0.3,0.3,0.31,2,3,0.0,0.0,1.0,1.0,1.0
6068,PCCS GROUP BERHAD,Personal Goods,2020-03-01,10,1.5,0.09,0.0,0.08,0.08,0.43,0.455,0.34,0.625,0.7553,31.0,0.01,2.2,0.01,2.2,1.92,10.29,0.18,0.16,0.09,-4.9,22.25,8.68,11.22,0.0,-3.23,23.21,20.89,0.95,-3.23,0.64,2.12,1.27,0.64,2.54,-4.26,3.53,-0.53,0.0,6.83,0.0,0.0,0.0,-0.67,0,0,0,1+2+4+6+8+9+10,4+5+6+8+10,1+3+4+5+6+7+8+9+10,4+5,379,425,-0.04,0.07,5,28,0.1,0.1,0.11,0.08,0,3,0.0,0.0,0.5,0.0,1.0
7087,MAGNI-TECH INDUSTRIES BERHAD,Personal Goods,2020-04-01,10,4.0,4.9,0.11,1.16,1.05,2.21,2.29,1.992,2.649,1.6,8.0,0.29,12.66,0.11,4.85,18.31,21.41,0.0,0.0,8.04,7.83,25.95,16.89,16.06,0.39,5.56,3.57,9.8,7.89,5.56,1.56,2.97,2.12,1.56,20.92,1.88,10.97,12.34,18.47,22.13,0.0,0.39,18.42,21.54,1,0,1,2+3+10,+,3+10,+,444,1206,0.04,0.28,9,98,3.43,1.55,1.4,2.57,4,5,0.5,0.5,1.0,1.0,1.0
7130,KPOWER BERHAD,Personal Goods,2020-06-01,7,2.5,1.12,2.72,0.68,0.21,1.36,0.815,0.598,2.91,0.3,9.0,0.09,11.04,0.02,2.77,28.63,19.61,0.04,0.02,-38.65,-32.5,57.5,12.5,57.5,30.19,-2.7,2.35,-0.9,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,190.14,53.97,15.17,0.0,33.83,0.0,0.0,0.0,30.19,0,0,0,4+6+7,2+3+4+5+6+7,1+2+3+4+5+6+7,2+3+4+5,12,96,-0.01,0.04,3,11,0.9,0.9,0.28,0.68,4,4,0.5,0.0,0.0,1.0,1.0
7139,NICHE CAPITAL EMAS HOLDINGS BERHAD,Personal Goods,2020-06-01,9,1.0,0.0,-0.0,0.0,0.0,0.21,0.205,0.055,0.53,0.05,-80.0,-0.0,-0.0,0.0,0.0,-5.2,-9.03,0.01,0.01,-13.54,-12.5,-0.92,-6.71,,0.0,-26.89,38.64,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.52,-21.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+5+6+7+8+9,1+2+4+6+7+8+9,1+2+3+4+5+6+7+8+9,1+2+4+5+6+7+8+9,192,10,-0.25,0.0,0,-5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
7154,CAELY HOLDINGS BHD,Personal Goods,2020-03-01,10,1.0,-2.96,-0.0,-0.62,-0.62,0.46,0.315,0.295,0.8,0.36,-6.0,-0.06,-19.05,0.0,0.0,-15.5,-8.68,0.13,0.14,-0.71,-6.4,105.0,49.3,40.27,0.0,-0.85,10.15,-3.41,-0.2,-0.85,1.04,1.8,1.69,1.04,38.56,-16.46,-5.97,-2.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+6+10,1+10,1+3+6+9+10,2+3+5+6+8+9+10,58,69,-0.06,-0.05,-6,6,-0.83,-0.83,-0.83,-0.62,0,0,0.0,0.0,0.0,0.0,1.0
7168,PRG HOLDINGS BERHAD,Personal Goods,2020-12-01,10,1.0,-0.48,-0.0,-0.22,-0.22,0.2,0.175,0.145,0.315,0.3636,-7.0,-0.02,-11.43,0.0,0.0,-6.88,-8.48,0.43,0.46,-2.34,-25.5,74.0,24.25,49.6,0.0,-2.41,8.94,-14.08,-8.18,-2.41,1.16,0.0,0.48,1.16,51.95,0.59,8.72,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+8+10,1+2+3,1+2+3+4+5+7+9,1+2+3+7+8,81,196,0.02,-0.03,8,-38,-0.3,-0.3,-0.3,-0.22,0,0,0.0,0.0,0.0,0.0,1.0
