code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
8079,LEE SWEE KIAT GROUP BERHAD,Consumer Products & Services,2018-12-01,10,0.49,0.325,0.92,0.35,10.0,0.05,10.2,0.02,5.1,13.83,20.91,0.15,0.08,3.13,-1.0,21.25,10.12,13.21,27.61,28.06,50.26,27.61,-2.75,32.46,7.71,8.19,-2.75,0.28,0.94,0.56,0.28,5.72,0,0,1,3+4+6+9+10,10,7+9+10,+,62,100,-0.07,0.06,11,15
8117,POLY GLASS FIBRE (M) BERHAD,Industrial Products & Services,2019-02-01,10,0.465,0.2,0.52,1.0541,35.0,0.01,2.15,0.0,0.0,1.24,3.83,0.08,0.1,23.02,1.48,53.5,27.49,16.24,1.11,12.72,1.11,19.65,16.21,19.29,26.23,18.94,16.21,0.0,0.0,0.0,0.0,0.0,1,0,0,4+8+9+10,+,2+4+5+6+8+10,3,36,72,0.01,0.04,2,18
8125,DAIBOCHI BERHAD,Industrial Products & Services,2017-12-01,10,2.45,1.45,2.6,0.71,31.0,0.08,3.27,0.03,1.37,11.23,13.3,0.04,0.1,7.35,22.5,88.5,55.5,46.54,0.97,2.97,0.97,11.58,2.75,1.24,4.23,3.87,2.75,1.57,2.38,2.31,1.57,0.0,1,0,0,6+9+10,+,2+4+8+9+10,1+2+3+4+5+6+7+8+9+10,217,389,0.02,0.08,0,0
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation & Logistics,2018-12-01,10,0.72,0.56,1.36,0.47,-2.0,-0.47,-65.28,0.0,0.0,-99.87,-37.53,0.05,0.02,-3.37,-15.42,229.0,106.79,53.03,0.0,0.0,0.0,0.0,-2.04,14.32,-4.9,-3.54,-2.04,1.29,1.54,0.93,1.29,5.09,0,0,0,1+2+4+6+8+10,1+4+7,1+2+3+4+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,544,169,0.3,-0.43,0,0
8141,MAJUPERAK HOLDINGS BERHAD,Property,2018-12-01,10,0.36,0.18,0.415,0.67,-14.0,-0.02,-5.56,0.0,0.0,-3.7,2.03,0.05,0.06,3.91,-28.0,51.0,11.5,28.75,2.51,-25.26,0.0,2.51,-0.58,8.85,-3.46,1.61,-0.58,0.56,1.88,1.13,0.56,3.61,0,0,0,2+4+6+10,2+6+9+10,1+2+3+5+6+8+9+10,1+2+3+4+5+6+9,11,27,-0.04,0.02,1,0
8176,ATA IMS BERHAD,Industrial Products & Services,2019-03-01,9,1.0,0.665,1.85,0.55,12.0,0.08,8.0,0.03,3.29,14.64,21.54,0.17,0.16,-0.77,-9.33,17.78,4.23,12.41,50.91,50.91,0.0,0.0,1.69,12.76,6.65,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6+8+9,3+6+8+9,2+3+5+6+7+8+9,1+3+5,114,2909,0.0,0.1,8,-46
8192,MERCURY INDUSTRIES BERHAD,Construction,2019-12-01,9,0.575,0.42,0.83,1.8264,-111.0,-0.01,-1.74,0.0,0.0,-0.28,-0.3,0.03,0.03,10.4,-76.0,22.5,-26.75,9.23,0.0,0.0,0.0,0.0,11.74,6.69,6.99,9.03,0.0,5.43,1.48,3.77,0.0,40.38,1,0,0,1+6+7+8,+,1+2+6+8,2+3,50,85,0.19,-0.01,7,17
8206,ECO WORLD DEVELOPMENT GROUP BERHAD,Property,2019-10-01,10,0.405,0.295,0.9,1.55,6.0,0.07,17.28,0.0,0.0,4.53,4.55,0.37,0.4,1.05,-24.0,214.0,95.0,66.3,8.37,8.37,9.62,54.81,1.61,4.29,6.1,4.83,1.61,0.0,0.0,0.0,0.0,5.0,0,0,0,2+6+7+8+10,8+9+10,2+5+7+8+9+10,10,31,2462,-0.01,0.07,0,543
8273,PUBLIC PACKAGES HOLDINGS BHD,Industrial Products & Services,2018-12-01,10,0.715,0.325,1.4,1.31,6.0,0.13,18.18,0.0,0.35,9.56,8.91,0.07,0.07,8.03,6.25,13.64,9.94,9.77,10.23,10.23,13.19,19.14,10.77,2.49,12.4,10.63,10.77,0.53,0.0,0.0,0.53,6.2,1,0,1,7+10,+,2+6+8+9+10,+,132,197,0.05,0.1,20,25
8303,LOTUS KFM BERHAD,Consumer Products & Services,2019-09-01,10,0.23,0.08,0.25,0.08,51.0,0.0,0.0,0.0,0.0,5.63,0.0,0.05,0.0,-52.65,-20.5,-0.42,-10.46,,0.0,0.0,0.0,0.0,-44.39,66.97,-38.49,-73.95,-44.39,0.0,0.0,0.0,0.0,0.0,0,0,0,4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,3+4+5+6+7+10,117,58,-0.07,-0.04,0,13
8311,PESONA METRO HOLDINGS BERHAD,Construction,2019-12-01,10,0.24,0.13,0.255,0.2635,15.0,0.02,8.33,0.01,4.17,6.03,6.1,0.1,0.1,-43.84,-0.5,44.0,21.75,21.48,0.0,-19.05,-2.9,0.0,-69.52,168.4,4.75,4.84,-69.52,2.11,4.01,3.57,2.11,34.2,0,0,0,5+6+10,9+10,2+3+5+6+7+8+9+10,1+3+5+6+9+10,15,607,-0.27,0.01,-13,-7
8338,DATAPREP HOLDINGS BHD,Technology,2019-03-01,10,0.155,0.06,0.28,0.04,-6.0,-0.03,-19.35,0.0,0.0,-63.75,-56.22,0.03,0.01,-10.49,-56.5,20.5,-18.0,20.5,0.0,0.0,0.0,0.0,-5.2,4.97,-5.3,-4.48,-5.2,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+7+8+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,45,35,-0.02,-0.03,-5,-5
8346,PERAK CORPORATION BERHAD,Transportation & Logistics,2018-12-01,10,0.175,0.09,0.47,0.03,0.0,-0.77,-440.0,0.0,0.0,-2553.67,-31.43,0.11,0.38,1.84,-8.0,13.5,2.75,7.11,0.0,0.0,0.0,0.0,-62.17,159.83,-251.01,-138.45,-62.17,1.18,0.0,0.0,1.18,5.94,0,0,0,4+6+10,1+2+3,1+2+3+6+10,3+4,95,193,0.12,-1.05,36,74
8362,KYM HOLDINGS BERHAD,Industrial Products & Services,2019-01-01,10,0.25,0.16,0.43,0.57,-4.0,-0.06,-24.0,0.0,0.0,-10.16,3.83,0.22,0.13,5.75,-92.0,15.0,-38.5,11.38,0.0,0.0,-10.81,0.0,1.98,6.51,1.56,-0.66,1.98,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+4+10,2+4+5+7+8,1+2+3+4+5+6+7+8+9+10,5+6+8+10,65,100,0.24,0.02,-92,8
