code,name
1163,ALLIANZ MALAYSIA BERHAD
1171,MALAYSIA BUILDING SOCIETY BERHAD
1198,MAA GROUP BERHAD
1201,SUMATEC RESOURCES BERHAD
1287,PAN MALAYSIA HOLDINGS BERHAD
1295,PUBLIC BANK BERHAD
1368,UEM EDGENTA BERHAD
1481,ADVANCE SYNERGY BERHAD
1503,GUOCOLAND (MALAYSIA) BERHAD
1538,SYMPHONY LIFE BERHAD
1562,BERJAYA SPORTS TOTO BERHAD
1589,ISKANDAR WATERFRONT CITY BERHAD
1619,DRB-HICOM BERHAD
1643,LANDMARKS BERHAD
1651,MALAYSIAN RESOURCES CORPORATION BERHAD
1694,MENANG CORPORATION (M) BERHAD
1724,PARAMOUNT CORPORATION BERHAD
1818,BURSA MALAYSIA BERHAD
1899,BATU KAWAN BERHAD
1902,PINEHILL PACIFIC BERHAD
1929,CHIN TECK PLANTATIONS BERHAD
1961,IOI CORPORATION BERHAD
1996,KRETAM HOLDINGS BERHAD
2038,NEGRI SEMBILAN OIL PALMS BERHAD
2054,TDM BERHAD
2062,HARBOUR-LINK GROUP BERHAD
2089,UNITED PLANTATIONS BERHAD
2097,EASTLAND EQUITY BHD
2127,COMFORT GLOVES BERHAD
2135,GOPENG BERHAD
2143,ECM LIBRA FINANCIAL GROUP BERHAD
2186,KUCHAI DEVELOPMENT BERHAD
2194,MMC CORPORATION BERHAD
2216,IJM PLANTATIONS BERHAD
2224,SELANGOR DREDGING BERHAD
2259,TALAM TRANSFORM BERHAD
2283,ZELAN BERHAD
2291,GENTING PLANTATIONS BERHAD
2305,AYER HOLDINGS BERHAD
2429,TANCO HOLDINGS BERHAD
2445,KUALA LUMPUR KEPONG BERHAD
2453,KLUANG RUBBER COMPANY (MALAYA) BERHAD
2488,ALLIANCE BANK MALAYSIA BERHAD
2542,RIVERVIEW RUBBER ESTATES BERHAD
2569,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD
2593,UNITED MALACCA BERHAD
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO
2658,AJINOMOTO (MALAYSIA) BERHAD
2674,ALCOM GROUP BERHAD
2682,AMALGAMATED INDUSTRIAL STEEL BERHAD
2739,SINO HUA-AN INTERNATIONAL BERHAD
2755,FCW HOLDINGS BERHAD
2771,BOUSTEAD HOLDINGS BERHAD
2828,C.I. HOLDINGS BERHAD
2836,CARLSBERG BREWERY MALAYSIA BERHAD
2852,CAHYA MATA SARAWAK BERHAD
2925,CYCLE & CARRIAGE BINTANG BERHAD
2984,FACB INDUSTRIES INCORPORATED BERHAD
3018,OLYMPIA INDUSTRIES BERHAD
3026,DUTCH LADY MILK INDUSTRIES BERHAD
3034,HAP SENG CONSOLIDATED BERHAD
3042,PETRON MALAYSIA REFINING & MARKETING BHD
