code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
1155,Financial Services,8.03,6.96,9.01,7.4092,12.0,0.65,8.09,0.64,7.97,8.74,10.45,0.84,0.79
1163,Financial Services,13.68,11.4,15.8,23.3,5.0,2.88,21.05,0.65,4.75,12.36,12.1,0.01,0.01
1171,Financial Services,0.655,0.46,0.795,1.2695,9.0,0.08,12.21,0.03,4.58,5.98,8.76,0.33,0.35
1198,Financial Services,0.72,0.53,0.85,1.85,-18.0,-0.04,-5.56,0.0,0.0,-2.22,-6.13,0.02,0.03
1201,Energy,0.005,0.005,0.01,0.12,-5.0,-0.0,-0.0,0.0,0.0,-0.83,-0.51,0.0,0.0
1287,Consumer Products & Services,0.095,0.045,0.375,0.0326,-21.0,-0.0,-0.0,0.0,0.0,-14.11,-10.54,0.44,0.44
1295,Financial Services,4.13,2.516,4.97,11.8701,16.0,0.26,6.3,0.15,3.54,2.23,13.03,0.3,0.31
1368,Industrial Products & Services,1.51,1.49,2.73,1.75,20.0,0.08,5.3,0.14,9.27,4.31,11.83,0.27,0.24
1481,Consumer Products & Services,0.15,0.07,0.3,0.48,3.0,0.06,40.0,0.0,2.33,12.46,16.58,0.2,0.18
1562,Consumer Products & Services,2.08,1.88,2.634,0.57,21.0,0.1,4.81,0.08,3.81,17.54,18.19,1.34,1.38
1619,Consumer Products & Services,1.76,0.98,2.32,3.39,-21.0,-0.08,-4.55,0.02,1.14,-2.43,1.58,0.87,0.52
1643,Consumer Products & Services,0.34,0.2,0.44,3.29,-2.0,-0.19,-55.88,0.0,0.0,-5.7,-5.75,0.07,0.07
1818,Financial Services,8.95,4.32,10.98,1.11,19.0,0.47,5.25,0.51,5.7,42.06,22.72,0.01,0.01
2062,Transportation & Logistics,0.915,0.42,1.03,1.07,14.0,0.07,7.65,0.01,1.09,6.31,6.34,0.11,0.12
2097,Consumer Products & Services,0.15,0.035,0.23,0.5,-4.0,-0.04,-26.67,0.0,0.0,-8.34,-7.39,0.17,0.15
2127,Industrial Products & Services,2.56,0.605,7.28,0.77,9.0,0.27,10.55,0.02,0.59,35.58,11.28,0.06,0.09
2143,Financial Services,0.235,0.14,0.275,0.39,-7.0,-0.03,-12.77,0.0,0.0,-8.82,16.11,0.11,0.1
2186,Financial Services,1.53,0.88,1.7,3.4019,26.0,0.06,3.92,0.01,0.75,1.72,0.58,0.0,0.0
2194,Transportation & Logistics,0.82,0.45,0.96,3.08,9.0,0.09,10.98,0.02,1.83,2.82,2.7,1.15,1.01
2488,Financial Services,2.65,1.48,3.06,4.14,9.0,0.28,10.57,0.0,0.0,6.87,7.24,0.29,0.3
