code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0025,YBS INTERNATIONAL BERHAD,Industrial Products & Services,2019-03-01,8,0.125,0.075,0.195,0.24,86.0,0.0,0.0,0.0,0.0,0.58,4.8,0.05,0.03,4.62,-7.25,18.5,5.62,11.88,0.0,3.25,8.46,4.37,-0.14,0.0,0.62,0.0,0.0,0.0,3.95,6.15,4.25,7.58,-17.75,-6.21,0.0,0.0,-18.13,-8.55,0,0,1,1+2+4+7+8,3,2+3+4+5+6+7+8,+,34,69,0.02,0.01,11,7
0026,NOVA MSC BERHAD,Technology,2019-03-01,9,0.05,0.015,0.115,0.08,-139.0,-0.0,-0.0,0.0,0.0,-0.5,17.46,0.02,0.0,-2.57,-8.0,12.5,2.25,12.5,16.01,-6.23,11.87,-7.86,-4.72,0.0,0.0,0.0,0.0,0.0,0.0,19.62,10.36,9.46,62.51,25.55,0.0,115.05,45.38,16.01,0,0,0,1+2+4+5+7,2+3+7+8,1+2+3+4+6+7+8+9,1+2+3+5+7+9,24,53,0.0,0.01,0,-9
0026,NOVA MSC BERHAD,Technology,2019-03-01,9,0.05,0.015,0.115,0.08,-139.0,-0.0,-0.0,0.0,0.0,-0.5,17.46,0.02,0.0,-2.57,-8.0,12.5,2.25,12.5,16.01,-6.23,11.87,-7.86,-4.72,0.0,0.0,0.0,0.0,0.0,0.0,19.62,10.36,9.46,62.51,25.55,0.0,115.05,45.38,16.01,0,0,0,1+2+4+5+7,2+3+7+8,1+2+3+4+6+7+8+9,1+2+3+5+7+9,24,53,0.0,0.01,0,-9
0028,SCOPE INDUSTRIES BERHAD,Industrial Products & Services,2019-06-01,10,0.11,0.065,0.22,0.1868,-11.0,-0.01,-9.09,0.0,0.0,-5.25,-4.29,0.04,0.04,-3.29,-30.0,22.0,-4.0,12.75,0.0,-3.54,18.17,-0.15,-1.2,-3.54,3.08,3.99,2.39,3.08,17.52,-13.34,-7.21,-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+8+10,1+5+6+7+10,1+2+4+5+6+7+8+9+10,1+4+5,18,16,-0.02,-0.01,3,-1
0029,DIGISTAR CORPORATION BERHAD,Technology,2019-09-01,10,0.055,0.015,0.07,0.09,-16.0,-0.0,-0.0,0.0,0.0,-3.67,-4.59,4.22,4.25,-3.7,-15.0,19.0,2.0,8.97,0.0,-1.77,17.54,-12.5,-7.75,-1.77,0.0,0.0,0.0,0.0,4.23,-30.25,-12.35,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+7+8,1+2+3+5+6+7,1+2+3+4+5+6+7+8,4+5+6+7+8,73,57,0.02,0.0,14,28
0029,DIGISTAR CORPORATION BERHAD,Technology,2019-09-01,10,0.055,0.015,0.07,0.09,-16.0,-0.0,-0.0,0.0,0.0,-3.67,-4.59,4.22,4.25,-3.7,-15.0,19.0,2.0,8.97,0.0,-1.77,17.54,-12.5,-7.75,-1.77,0.0,0.0,0.0,0.0,4.23,-30.25,-12.35,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+7+8,1+2+3+5+6+7,1+2+3+4+5+6+7+8,4+5+6+7+8,73,57,0.02,0.0,14,28
0032,REDTONE INTERNATIONAL BERHAD,Telecommunications & Media,2018-04-01,10,0.41,0.2,0.61,0.2179,15.0,0.03,7.32,0.01,2.44,12.48,4.39,0.04,0.01,-0.65,-24.5,53.5,14.5,33.44,0.0,-2.04,6.06,-5.99,-2.4,-2.04,0.39,0.0,0.78,0.39,0.0,-8.04,-3.69,0.73,-25.32,0.0,0.0,-28.02,-32.26,0.0,0,0,0,1+3+5+9+10,2+3+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+8+9+10,79,118,-0.01,0.01,0,0
0034,MMAG HOLDINGS BERHAD,Technology,2019-03-01,10,0.31,0.12,0.4,0.1545,-11.0,-0.03,-9.68,0.0,0.0,-19.03,-24.34,0.15,0.15,-15.36,-5.62,10.0,2.19,6.19,0.0,-50.89,61.5,-29.06,-69.99,-50.89,0.0,0.0,0.0,0.0,0.0,-31.52,-34.29,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+5+10,1+2+3+4+5+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+5+6+7+8+9+10,5,75,-0.09,-0.04,-1,-25
0035,OPCOM HOLDINGS BERHAD,Telecommunications & Media,2019-03-01,9,0.49,0.195,0.84,0.5376,-38.0,-0.01,-2.04,0.0,0.0,-2.42,0.51,0.0,0.0,17.89,6.23,35.33,20.78,16.72,0.0,7.91,5.35,5.77,5.24,0.0,2.25,3.39,2.52,0.0,41.22,-10.08,8.15,22.58,-30.51,-22.93,0.0,-60.66,-30.76,-22.94,1,0,0,1+3+6+7,+,1+2+3+6+7+8,2+6,36,75,0.13,0.0,30,4
0036,KEY ALLIANCE GROUP BERHAD,Technology,2019-03-01,9,0.055,0.01,0.14,0.1247,-3.0,-0.02,-36.36,0.0,0.0,-12.67,-9.32,0.17,0.01,-16.96,-7.5,3.0,-2.25,3.0,0.0,-62.19,64.79,-42.62,-43.69,0.0,0.0,0.0,0.0,0.0,0.0,4.55,13.62,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+6+7+8+9,1+2+3+4+5+6+7+8,1+2+3+4+5+6+7+8+9,1+3+4+5,78,44,0.03,-0.01,11,-5
