code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0036,KEY ALLIANCE GROUP BERHAD,0.055,-0.02,0.01,0.14,0.0,0.0,0.0,-2.25,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.05
0037,RGB INTERNATIONAL BHD,0.14,0.03,0.1,0.225,16.76,35.4,0.0,11.75,10.45,0.16,0.09,0.33,0.12,0.07,0.25,0.14
0038,PLASTRADE TECHNOLOGY BERHAD,0.165,-0.01,0.05,0.245,0.0,0.0,0.0,10.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.11
0039,GFM SERVICES BERHAD,0.18,0.0,0.06,0.51,-27.94,0.0,-27.22,14.38,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0039,GFM SERVICES BERHAD,0.18,0.0,0.06,0.51,-27.94,0.0,-27.22,14.38,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0039,GFM SERVICES BERHAD,0.18,0.0,0.06,0.51,-27.94,0.0,-27.22,14.38,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0039,GFM SERVICES BERHAD,0.18,0.0,0.06,0.51,-27.94,0.0,-27.22,14.38,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0040,OPENSYS (M) BERHAD,0.535,0.04,0.26,0.61,22.68,14.66,13.04,12.75,51.75,0.23,0.31,0.33,0.17,0.23,0.25,0.38
0041,MSCM HOLDINGS BERHAD,0.155,-0.02,0.04,0.25,0.0,0.0,0.0,2.79,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.11
0043,METRONIC GLOBAL BERHAD,0.035,-0.01,0.015,0.08,0.0,0.0,0.0,-1.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.04
0043,METRONIC GLOBAL BERHAD,0.035,-0.01,0.015,0.08,0.0,0.0,0.0,-1.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.04
0043,METRONIC GLOBAL BERHAD,0.035,-0.01,0.015,0.08,0.0,0.0,0.0,-1.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.04
0043,METRONIC GLOBAL BERHAD,0.035,-0.01,0.015,0.08,0.0,0.0,0.0,-1.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.04
0045,G NEPTUNE BERHAD,0.035,-0.01,0.03,0.085,0.0,0.0,0.0,-4.12,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.05
0045,G NEPTUNE BERHAD,0.035,-0.01,0.03,0.085,0.0,0.0,0.0,-4.12,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.05
0045,G NEPTUNE BERHAD,0.035,-0.01,0.03,0.085,0.0,0.0,0.0,-4.12,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.05
0045,G NEPTUNE BERHAD,0.035,-0.01,0.03,0.085,0.0,0.0,0.0,-4.12,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.05
0048,ANCOM LOGISTICS BERHAD,0.085,0.0,0.03,0.105,0.0,0.0,0.0,2.75,138.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0049,OCEANCASH PACIFIC BERHAD,0.67,0.03,0.29,1.02,-11.29,-1.34,29.24,14.38,17.42,0.7,0.4,0.11,0.52,0.3,0.08,0.53
0049,OCEANCASH PACIFIC BERHAD,0.67,0.03,0.29,1.02,-11.29,-1.34,29.24,14.38,17.42,0.7,0.4,0.11,0.52,0.3,0.08,0.53
0049,OCEANCASH PACIFIC BERHAD,0.67,0.03,0.29,1.02,-11.29,-1.34,29.24,14.38,17.42,0.7,0.4,0.11,0.52,0.3,0.08,0.53
0049,OCEANCASH PACIFIC BERHAD,0.67,0.03,0.29,1.02,-11.29,-1.34,29.24,14.38,17.42,0.7,0.4,0.11,0.52,0.3,0.08,0.53
0050,SYSTECH BHD,0.16,-0.0,0.06,0.205,-33.85,-28.29,0.0,15.0,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0050,SYSTECH BHD,0.16,-0.0,0.06,0.205,-33.85,-28.29,0.0,15.0,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0050,SYSTECH BHD,0.16,-0.0,0.06,0.205,-33.85,-28.29,0.0,15.0,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0050,SYSTECH BHD,0.16,-0.0,0.06,0.205,-33.85,-28.29,0.0,15.0,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0051,CUSCAPI BERHAD,0.11,-0.01,0.045,0.235,0.0,0.0,0.0,-14.84,73.91,-0.17,-0.17,-0.17,-0.13,-0.13,-0.13,0.11
0051,CUSCAPI BERHAD,0.11,-0.01,0.045,0.235,0.0,0.0,0.0,-14.84,73.91,-0.17,-0.17,-0.17,-0.13,-0.13,-0.13,0.11
