code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
9601,10,241,181,0.09,-0.02,-6,10,-46.75,-22.17,0.14,0.16,-3.08,-0.04,0.0,0,0,6,10,6,0.0,0.0,0.0,0.0,1.0,1.0,0.12,-0.0
9342,9,9,6,0.27,0.0,-12,1,-5.14,-2.39,0.0,0.0,-14.58,-0.01,0.0,0,0,6,9,8,0.0,0.0,0.0,0.0,1.0,1.0,0.15,-0.0
0028,10,21,20,0.02,-0.05,7,-2,-19.63,-27.68,0.02,0.04,-4.0,-0.03,0.0,0,0,5,9,4,0.0,0.0,0.0,0.0,1.0,1.0,0.12,-0.0
9466,10,269,559,0.3,0.18,104,-15,5.24,14.99,0.0,0.0,20.0,0.07,17.87,2,5,6,7,3,0.0,0.0,0.0,0.0,1.0,1.0,1.4,1.25
9407,9,51,56,0.0,0.04,4,-2,-14.04,6.84,0.34,0.28,8.25,-0.08,0.0,0,0,5,8,3,0.0,0.0,0.0,0.0,1.0,1.0,-0.66,-0.0
9393,10,53,15,-0.04,-0.02,-1,-2,-3.71,-15.32,0.03,0.0,-5.0,-0.0,0.0,0,0,6,10,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
0034,10,6,183,-0.04,-0.04,-2,-19,-10.41,-29.9,0.12,0.19,-3.18,-0.02,0.0,0,0,5,10,8,0.0,0.0,0.0,0.0,1.0,1.0,0.06,-0.0
9377,10,52,1,-0.17,0.0,-16,0,-16.0,-11.08,0.0,0.0,-3.42,-0.0,0.0,0,0,8,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
0036,10,78,40,0.03,-0.03,0,13,11.14,-24.04,0.08,0.24,-2.5,0.01,0.0,5,0,7,10,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.02,0.0
8745,9,56,15,-0.09,-0.04,5,-4,-26.9,-30.73,0.0,0.0,-13.25,-0.03,0.0,0,0,6,9,5,0.0,0.0,0.0,0.0,1.0,1.0,0.4,-0.0
8672,9,208,109,0.07,-0.01,18,-3,-3.66,-1.13,0.24,0.23,5.0,-0.04,0.0,0,0,7,6,2,0.0,0.0,0.0,0.0,1.0,1.0,-0.2,-0.0
8648,9,53,31,0.01,-0.01,6,-2,0.0,-5.78,0.0,0.0,6.0,0.0,0.0,0,0,6,7,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7163,8,17,13,-0.4,0.0,-18,0,1.21,1.41,0.0,0.0,-0.34,0.0,0.0,0,0,4,7,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0
7935,9,88,63,-0.07,-0.02,-4,1,-3.37,-10.54,0.01,0.02,-80.25,-0.02,0.0,0,0,6,9,5,0.0,0.0,0.0,0.0,1.0,1.0,1.6,-0.0
0093,9,11,19,0.0,0.0,3,-3,-1.24,-2.34,0.17,0.17,15.75,-0.0,0.0,0,0,5,6,3,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
7811,10,285,225,0.28,0.03,44,30,0.69,2.15,0.25,0.24,17.0,0.01,0.0,0,3,7,7,0,0.0,0.0,0.0,0.0,1.0,1.0,0.17,0.0
0095,10,152,2,-0.23,-0.27,0,13,1.52,-23.36,0.09,0.1,-0.94,0.01,0.0,3,0,10,10,8,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.0
7773,10,588,484,0.16,-0.1,121,35,-5.85,-5.65,0.13,0.13,5.84,-0.09,0.0,0,0,7,8,0,0.0,0.0,0.0,0.0,1.0,1.0,-0.53,-0.0
7757,10,129,152,0.18,0.14,20,18,2.68,4.14,0.0,0.0,12.17,0.09,0.0,2,5,5,4,0,0.0,0.0,0.0,0.0,1.0,1.0,1.1,0.0
0098,9,32,95,0.0,-0.15,7,17,-1.86,-86.18,0.11,0.09,-4.0,-0.16,0.0,0,0,4,8,5,0.0,0.0,0.0,0.0,1.0,1.0,0.64,-0.0
7676,9,76,17,0.05,-0.05,41,3,1.39,-12.29,0.02,0.02,-20.16,0.01,0.0,0,0,3,7,1,0.0,0.0,0.0,0.0,1.0,1.0,-0.2,0.0
0064,10,59,4,0.02,-0.01,-4,-6,-3.39,-6.19,0.0,0.0,1.5,-0.01,0.0,0,0,4,7,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.02,-0.0
0102,8,54,53,-0.02,-0.02,1,2,-6.71,-36.27,0.08,0.29,-2.5,-0.0,0.0,0,0,4,8,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
7609,10,363,255,0.07,0.0,35,31,0.33,0.34,0.0,0.0,17.62,0.0,0.0,0,0,4,6,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
