code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price A5,Price A10,Price B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
0148,SUNZEN BIOTECH BERHAD,Consumer Products & Services,2019-12-01,8,1.5,-0.32,-0.0,-0.22,-0.22,0.13,0.215,0.07,0.255,0.17,-9.0,-0.02,-9.3,0.0,0.0,-14.47,-16.39,0.17,0.17,0.34,-10.5,42.5,16.0,27.17,0.0,-1.67,7.14,-6.71,-4.03,0.0,0.0,0.0,0.0,0.0,44.85,81.84,45.15,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5,1+2,1+2+3+4+5+6+8,1+2+4+5+8,33,241,0.01,-0.03,-1,-11,-0.29,-0.29,-0.29,-0.22,0,0,0.5,0.0,0.0,0.0,1.0
0153,OVERSEA ENTERPRISE BERHAD,Consumer Products & Services,2020-03-01,8,2.0,0.15,-0.0,-0.09,-0.09,0.13,0.13,0.04,0.31,0.19,-15.0,-0.01,-7.69,0.0,0.0,-4.63,-10.66,0.04,0.03,-3.63,-18.0,-11.5,-14.75,,0.0,-3.86,3.97,-7.53,-4.52,0.0,0.0,0.0,0.0,0.0,18.75,-4.79,-3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1+2+3+4+5+6+7+8,1+2+3+4+7,1+2+3+4+5+6+7+8,+,67,52,-0.01,-0.01,2,7,-0.12,-0.12,-0.12,-0.09,0,0,0.0,0.0,1.0,0.0,1.0
0157,FOCUS POINT HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,8,2.5,0.57,1.77,0.06,0.35,0.49,0.835,0.247,0.98,0.3105,26.0,0.03,3.59,0.01,1.59,10.37,16.57,0.76,0.92,2.93,12.33,25.5,18.92,18.96,58.87,2.92,3.19,4.09,2.46,0.0,2.0,1.25,0.75,0.0,56.49,5.66,4.47,0.0,53.32,0.0,0.0,0.0,58.87,0.0,0,0,1,+,3,2+3+4+6+7+8,+,131,191,0.02,0.04,10,50,0.47,0.08,0.47,0.35,2,2,1.0,0.0,1.0,0.5,0.0
0158,SCC HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,10,2.5,0.22,0.0,0.16,0.11,0.39,0.415,0.33,0.515,0.3162,37.0,0.01,2.41,0.0,0.0,3.57,12.7,0.01,0.01,12.92,9.5,34.4,21.95,15.18,0.0,6.24,3.14,9.7,8.36,6.24,3.4,6.76,5.46,3.4,46.5,2.43,9.06,0.0,-3.76,0.0,0.0,-7.17,-3.8,0.0,1,0,1,1+8+10,+,1+3+5+8+9+10,+,19,65,0.06,0.04,2,5,0.32,0.22,0.15,0.24,0,0,0.5,0.0,1.0,0.0,1.0
0170,KANGER INTERNATIONAL BERHAD,Consumer Products & Services,2019-12-01,7,2.0,-0.22,-0.0,-0.2,-0.08,0.15,0.06,0.055,0.33,0.1058,-5.0,-0.01,-16.67,0.0,0.0,-11.53,5.08,0.21,0.32,5.88,5.75,38.0,21.88,19.95,0.0,7.85,6.15,5.79,7.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,-0.51,0.0,-0.5,0.0,0.0,-11.61,-15.67,0.0,0,0,0,2+5+7,2,1+2+3+4+6+7,2+4+6,50,65,0.05,0.01,1,12,-0.21,-0.27,-0.1,-0.16,0,0,0.5,0.0,0.5,0.0,1.0
0171,PETERLABS HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,10,2.0,0.12,0.04,0.06,0.09,0.21,0.225,0.15,0.32,0.2469,16.0,0.01,4.44,0.01,4.44,5.67,8.49,0.02,0.02,7.71,10.25,14.5,12.38,12.45,4.33,9.48,4.16,8.51,8.15,9.48,2.59,1.63,2.5,2.59,22.82,4.81,11.86,0.0,7.16,0.0,0.0,7.32,4.33,0.0,1,0,0,2+10,+,2+4+7+9+10,5+8+10,8,96,0.03,0.02,0,11,0.08,0.08,0.12,0.06,2,5,0.5,0.0,0.5,0.0,1.0
0179,BIOALPHA HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,7,2.5,-0.7,-0.0,-0.34,-0.23,0.2,0.21,0.1,0.395,0.1464,-6.0,-0.03,-14.29,0.0,0.0,-22.81,5.15,0.05,0.06,9.93,18.5,28.0,23.25,22.6,0.0,4.3,0.78,4.58,4.52,0.0,0.0,0.0,0.0,0.0,3.09,10.55,18.62,0.0,5.27,0.0,0.0,-8.83,-5.86,0.0,1,0,1,1+7,+,1+3+5+6+7,+,25,64,0.02,0.01,5,16,-0.53,-0.46,-0.31,-0.4,0,0,0.5,0.0,1.0,0.0,1.0
0180,KIM TECK CHEONG CONSOLIDATED BERHAD,Consumer Products & Services,2020-06-01,6,2.0,0.06,0.55,0.15,0.08,0.16,0.165,0.125,0.245,0.18,25.0,0.01,6.06,0.0,0.0,3.67,3.39,0.18,0.19,0.64,-6.5,19.5,6.5,13.62,54.75,0.53,9.25,0.88,0.53,0.0,0.0,0.0,0.0,0.0,0.0,14.33,35.39,0.0,-1.63,0.0,0.0,54.75,-7.49,0.0,0,0,0,6,3,1+2+3+4+5+6,3+4+5,141,640,0.01,0.01,23,23,0.02,0.2,0.1,0.02,3,0,0.5,0.0,0.5,0.0,1.0
0183,SALUTICA BERHAD,Consumer Products & Services,2020-06-01,6,1.0,-0.1,-0.0,-0.26,-0.26,0.51,0.58,0.395,0.75,0.3471,-17.0,-0.03,-5.17,0.02,3.1,-9.91,-5.41,0.01,0.01,3.38,-24.25,31.0,3.38,21.03,0.0,2.42,4.15,0.35,2.42,0.0,2.89,4.06,2.89,0.0,16.27,-13.31,-3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+6,1+2,1+2+3+4+5+6,1,193,161,0.09,-0.02,26,-14,-0.35,-0.35,-0.35,-0.26,0,5,0.0,0.0,0.0,0.0,1.0
0186,PERAK TRANSIT BERHAD,Consumer Products & Services,2019-12-01,7,3.0,0.2,1.22,0.19,0.5,0.66,0.79,0.505,0.981,0.2959,12.0,0.06,7.59,0.03,3.78,21.9,12.97,0.57,0.86,25.4,2.67,4.0,3.34,3.36,20.27,30.57,4.83,30.11,30.57,0.0,6.56,10.94,6.56,0.0,11.91,11.35,9.92,0.0,24.23,0.0,0.0,20.27,23.36,0.0,1,0,1,5+7,+,7,+,64,124,0.02,0.08,10,63,0.28,0.25,0.67,0.21,3,5,0.5,0.5,1.0,1.0,0.0
0197,WEGMANS HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,6,2.5,0.17,0.33,0.08,0.16,0.22,0.325,0.14,0.395,0.17,20.0,0.02,6.15,0.0,1.54,9.35,10.49,0.28,0.23,15.25,0.0,17.25,8.62,11.5,16.36,9.68,2.77,9.68,0.0,0.0,2.2,2.2,0.0,0.0,4.92,-0.11,16.71,0.0,21.64,0.0,0.0,-19.61,16.36,0.0,1,0,1,1+6,+,1+2+4+6,+,39,85,0.01,0.02,5,11,0.8,0.1,0.21,0.6,3,2,0.5,0.0,1.0,0.0,1.0
0205,DPI HOLDINGS BERHAD,Consumer Products & Services,2020-05-01,5,1.0,0.18,0.0,0.16,0.16,0.3,0.655,0.124,0.66,0.16,30.0,0.02,3.05,0.01,1.3,13.56,8.39,0.0,0.0,18.59,0.0,17.5,8.75,13.0,0.0,8.74,3.02,0.0,0.0,0.0,2.86,0.0,0.0,0.0,8.02,-5.44,0.0,0.0,0.0,0.0,0.0,-13.38,0.0,0.0,1,0,1,1+2+5,+,1+2+5,+,47,42,0.02,0.01,9,4,0.59,0.22,0.22,0.44,1,1,0.0,0.0,0.0,0.0,1.0
0210,KIM HIN JOO (MALAYSIA) BERHAD,Consumer Products & Services,2019-12-01,5,2.5,0.04,0.0,0.08,0.08,0.21,0.265,0.17,0.29,20.38,19.0,0.01,3.77,0.02,5.66,0.07,13.12,0.2,0.24,11.04,0.0,9.0,4.5,7.94,0.0,12.83,1.72,0.0,0.0,0.0,1.85,0.0,0.0,0.0,1.28,6.11,0.0,0.0,0.0,0.0,0.0,-33.05,0.0,0.0,1,0,1,5,+,1+2+3+5,+,77,101,0.06,0.03,10,16,1.11,0.1,0.1,0.83,2,5,0.5,0.0,1.0,0.0,1.0
0212,SDS GROUP BERHAD,Consumer Products & Services,2020-03-01,5,1.5,0.12,0.0,0.15,0.15,0.23,0.445,0.125,0.445,0.18,23.0,0.02,4.49,0.0,0.0,10.56,6.43,0.5,0.67,3.65,0.0,12.5,6.25,12.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.19,0.0,0.0,0.0,0.0,0.0,-8.53,0.0,0.0,1,0,1,5,+,1+3+5,+,94,192,0.01,0.01,15,14,0.34,0.2,0.2,0.26,2,0,0.5,0.0,0.0,0.0,1.0
0216,SPRING ART HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,5,3.5,0.26,0.68,0.15,0.15,0.27,0.335,0.16,0.49,0.18,21.0,0.02,5.97,0.0,0.0,8.67,16.13,0.08,0.09,15.07,0.0,26.0,13.0,17.5,34.24,7.48,3.63,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,14.16,0.0,0.0,0.0,0.0,0.0,34.24,0.0,0.0,1,0,1,5,+,2+5,+,36,61,0.02,0.04,4,12,0.06,0.2,0.2,0.04,3,0,0.5,0.5,1.0,0.5,1.0
1287,PAN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,2020-06-01,9,1.0,0.0,-0.0,0.0,0.0,0.18,0.1,0.08,0.375,0.0334,-24.0,-0.0,-0.0,0.0,0.0,-12.28,-10.54,0.43,0.44,-52.25,-48.5,-1.75,-25.12,,0.0,-6.58,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.37,-9.43,-10.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+9,1+2+3+4+5+6,1+2+3+4+5+6+7+8+9,1+2,10,6,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
1481,ADVANCE SYNERGY BERHAD,Consumer Products & Services,2019-12-01,10,1.5,0.22,-0.35,-0.34,-0.22,0.17,0.155,0.105,0.3,0.483,-4.0,-0.04,-25.81,0.0,2.26,-7.64,16.58,0.2,0.18,4.25,-13.0,1.88,-5.56,11.96,8.74,-0.31,21.35,15.21,5.49,-0.31,1.4,0.0,0.0,1.4,15.13,-0.3,-0.03,1.93,0.0,9.23,0.0,168.87,0.0,8.74,0,0,0,1+3+5+10,2+3+5+6+7+8,1+2+3+4+5+6+7+8+10,2+4+8,222,274,0.01,0.08,33,15,-0.03,-0.46,-0.3,-0.02,0,3,0.0,0.0,0.0,0.5,1.0
1562,BERJAYA SPORTS TOTO BERHAD,Consumer Products & Services,2020-06-01,10,1.5,1.56,0.0,2.03,1.43,2.06,2.07,1.88,2.416,0.59,20.0,0.1,4.83,0.06,3.14,17.34,18.19,1.25,1.38,7.06,9.13,22.0,15.57,14.44,0.0,7.45,1.79,5.88,7.64,7.45,6.08,5.8,6.64,6.08,8.95,-4.28,1.07,2.05,-13.67,-9.84,0.0,-18.26,-13.69,-9.03,1,0,0,1+2+10,+,1+2+3+4+6+7+9+10,1+2+3+4+5+6+7+8+9+10,3393,4636,0.27,0.1,0,0,3.83,2.7,1.91,2.87,2,5,0.5,0.0,0.0,1.0,0.0
1619,DRB-HICOM BERHAD,Consumer Products & Services,2019-03-01,10,0.0,3.88,0.0,12.12,7.77,1.65,1.9,1.36,2.25,3.92,7.0,0.29,15.26,0.02,1.05,7.31,1.58,0.87,0.52,3.46,-7.92,34.67,13.38,13.99,0.0,7.34,18.95,-0.17,-4.79,7.34,2.13,0.97,1.54,2.13,0.0,0.83,-2.55,7.42,-15.03,-11.99,0.0,0.0,-23.09,-18.2,0,0,0,1+3+4+5+9+10,3+4,1+2+3+4+5+6+7+9+10,1+4+6,6314,12477,0.12,0.06,3646,-763,2.9,16.16,10.36,2.17,5,1,0.0,0.0,0.0,0.0,0.0
1643,LANDMARKS BERHAD,Consumer Products & Services,2019-12-01,10,1.5,-1.49,0.0,0.9,0.9,0.36,0.455,0.21,0.655,3.21,4.0,0.12,26.37,0.0,0.0,3.6,-5.75,0.07,0.07,-40.3,-23.0,-1.79,-12.4,,0.0,-10.07,16.07,-27.88,-19.11,-10.07,0.09,0.0,0.0,0.09,0.0,11.38,16.48,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+9+10,41,115,0.0,-0.19,-1,-20,1.2,1.2,1.2,0.9,5,0,0.5,0.0,0.0,0.0,1.0
2097,EASTLAND EQUITY BHD,Consumer Products & Services,2019-12-01,10,1.0,0.02,-0.0,-0.22,-0.22,0.11,0.13,0.05,0.23,0.49,-4.0,-0.03,-23.08,0.0,0.0,-7.06,-7.39,0.17,0.15,-14.75,-9.25,7.75,-0.75,18.51,0.0,-4.71,26.63,-38.77,-22.84,-4.71,0.0,0.0,0.0,0.0,0.0,-9.22,-11.77,-10.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+6+8+10,1+2+3+4,1+2+3+4+8+10,1+2+4+5+6+7+8+10,32,18,0.03,-0.05,-5,0,-0.3,-0.3,-0.3,-0.22,0,0,0.0,0.0,0.0,0.0,1.0
2658,AJINOMOTO (MALAYSIA) BERHAD,Consumer Products & Services,2020-03-01,10,2.5,13.55,8.92,4.8,5.98,14.74,15.9,13.5,17.26,8.33,17.0,0.93,5.85,0.49,3.1,11.15,12.46,0.13,0.0,13.16,5.16,23.98,14.57,15.03,9.59,8.84,3.98,5.63,8.74,8.84,3.27,2.7,2.5,3.27,37.16,3.21,6.29,4.96,15.02,9.6,0.0,-31.65,15.02,9.59,1,0,1,6+10,+,3+8+9+10,+,316,462,0.42,0.98,35,68,176.16,6.4,7.98,132.12,3,5,0.5,0.0,1.0,0.0,1.0
2755,FCW HOLDINGS BERHAD,Consumer Products & Services,2020-06-01,10,1.5,2.47,1.47,2.66,0.29,0.73,1.04,0.55,1.09,0.7,15.0,0.07,6.73,0.0,0.0,10.23,12.26,0.0,0.0,45.34,5.5,65.0,35.25,32.14,20.94,5.25,5.75,4.76,3.26,5.25,2.15,5.13,3.28,2.15,34.91,-7.47,-4.13,0.9,-18.66,23.31,0.0,185.75,-18.66,20.94,0,0,0,1+2+6+7+8,3,2+3+4+5+7+9,6+10,36,21,0.05,0.07,-10,3,0.05,3.55,0.38,0.04,3,0,0.0,0.0,0.5,0.0,1.0
2828,C.I. HOLDINGS BERHAD,Consumer Products & Services,2020-06-01,10,2.5,2.56,0.84,0.94,2.73,1.63,2.34,1.15,2.6,1.47,10.0,0.23,9.83,0.1,4.27,15.35,13.75,0.05,0.07,1.36,6.32,15.94,11.13,11.42,3.64,44.51,114.16,11.64,9.69,44.51,2.99,6.11,4.09,2.99,28.64,5.75,45.15,17.42,19.71,-2.33,0.0,3.64,19.72,-3.61,0,0,0,2+8+9,7+8,2+6+7+8+9,1+4+5+6+7+8+9,581,2572,0.28,0.19,28,-81,2.48,1.25,3.64,1.86,3,5,0.5,0.0,0.0,1.0,1.0
2836,CARLSBERG BREWERY MALAYSIA BERHAD,Consumer Products & Services,2020-12-01,10,3.5,17.13,1.05,7.76,5.0,22.02,23.1,18.22,29.732,0.57,44.0,0.53,2.29,0.4,1.73,93.05,102.53,0.02,0.02,11.9,20.78,43.85,32.32,27.69,1.98,4.79,1.18,3.38,3.93,4.79,1.5,3.54,2.33,1.5,40.16,0.32,1.46,2.7,-5.56,1.92,0.0,-9.83,-5.56,1.98,1,0,1,1+8,+,1+5+8,+,1489,1785,0.54,0.53,155,212,13.73,10.35,6.67,10.3,0,2,0.5,0.0,1.0,1.0,1.0
2925,CYCLE & CARRIAGE BINTANG BERHAD,Consumer Products & Services,2020-12-01,10,1.0,0.67,-0.0,-1.15,-1.15,1.7,2.42,1.31,2.48,2.34,-19.0,-0.13,-5.37,0.0,0.0,-5.51,-5.36,0.39,0.39,0.81,-18.17,7.89,-5.14,20.4,0.0,3.02,10.17,-4.31,-1.15,3.02,1.06,0.0,0.79,1.06,17.63,-8.6,-7.26,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+5+8+9,1+2+4,1+2+3+4+5+8+9+10,2+3+4+5+6+8+9,678,1084,0.26,-0.13,7,126,-1.53,-1.53,-1.53,-1.15,0,0,0.0,0.0,0.0,0.0,1.0
3018,OLYMPIA INDUSTRIES BERHAD,Consumer Products & Services,2019-12-01,10,1.0,-0.1,-0.0,-0.22,-0.22,0.09,0.095,0.07,0.135,0.37,-3.0,-0.03,-31.58,0.0,0.0,-7.51,-5.61,0.09,0.38,-11.38,-4.5,11.0,3.25,10.25,0.0,-13.02,24.93,-0.87,-0.52,-13.02,0.0,0.0,0.0,0.0,0.0,-2.71,-5.32,-9.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+5+6+7+8+9+10,1+5+6+7+8+9+10,1+2+4+5+6+7+8+9+10,2+3+8+9+10,328,125,-0.02,-0.02,0,23,-0.3,-0.3,-0.3,-0.22,0,0,0.0,0.0,0.0,0.0,1.0
3026,DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,2019-12-01,10,2.5,32.96,6.35,13.27,9.31,38.86,35.48,34.12,48.48,2.6,31.0,1.15,3.24,0.8,2.25,44.09,82.41,0.02,0.0,11.84,23.44,33.88,28.66,26.7,5.52,3.97,0.53,3.78,3.81,3.97,1.79,2.11,1.95,1.79,43.24,0.6,1.29,4.42,-1.29,5.48,0.0,-11.6,-1.28,5.52,1,0,0,2+10,+,1+3+6+10,1+2+3+4+5+6+7+8+9+10,697,1067,1.0,1.6,0,0,34.55,17.7,12.41,25.91,1,3,0.5,0.0,0.0,1.0,1.0
3182,GENTING BERHAD,Consumer Products & Services,2020-12-01,10,0.0,-1.0,-0.0,-2.26,-2.26,3.77,4.88,2.901,5.53,8.56,-18.0,-0.26,-5.33,0.22,4.51,-3.09,-3.0,1.07,1.07,6.46,-16.52,24.21,3.85,17.33,0.0,5.27,4.36,2.82,3.94,5.27,1.19,2.45,1.88,1.19,15.76,-16.72,-8.57,-2.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1+6+8+9,1,1+3+4+6+7+8,+,19559,11564,0.77,-0.27,6903,1060,-3.01,-3.01,-3.01,-2.26,0,5,0.0,0.0,0.0,0.0,0.0
3255,HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,2019-12-01,10,3.0,13.0,2.93,3.62,3.25,20.99,25.3,17.86,27.34,1.16,50.0,0.51,2.02,1.08,4.27,44.0,81.8,0.02,0.01,12.37,22.13,28.85,25.49,25.16,5.75,4.2,0.65,4.11,4.01,4.2,3.89,4.13,4.01,3.89,27.48,6.47,5.12,5.94,5.74,8.24,0.0,8.78,5.75,8.23,1,0,0,5+9+10,+,5+9+10,10,1285,2320,0.47,1.04,0,411,4.22,4.83,4.33,3.16,0,5,0.5,0.0,0.5,1.0,1.0
