code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
5088,Financial Services,0.72,0.615,1.02,1.49,26.0,2.81,3.9,2.0,2.78,1.89
7090,Health Care,2.61,1.77,2.65,0.9,23.0,11.15,4.27,1.7,0.65,12.39
5015,Industrial Products & Services,1.66,1.5,3.0,6.51,12.0,13.51,8.14,12.0,7.23,2.08
6432,Consumer Products & Services,3.3,2.45,4.09,2.99,19.0,17.74,5.38,20.0,6.06,5.93
7181,Industrial Products & Services,0.355,0.095,0.51,0.38,3.0,11.68,32.9,0.0,0.0,30.74
7007,Property,0.16,0.115,0.33,0.27,-6.0,-2.85,-17.81,0.0,0.0,-10.56
7722,Consumer Products & Services,0.445,0.35,0.58,0.86,9.0,4.77,10.72,0.0,0.0,5.55
7129,Consumer Products & Services,1.82,1.3,2.51,3.152,9.0,21.35,11.73,14.0,7.69,6.77
0159,Telecommunications & Media,0.05,0.03,0.09,-1.69,-4.0,-1.32,-26.4,0.0,0.0,0.78
4057,Property,0.105,0.055,0.14,1.029,2.0,5.96,56.76,0.0,0.0,5.79
7162,Industrial Products & Services,0.555,0.37,0.76,1.44,6.0,9.1,16.4,1.0,1.8,6.32
7054,Plantation,0.11,0.05,0.235,0.2834,-8.0,-1.45,-13.18,0.0,0.0,-5.12
6399,Telecommunications & Media,0.955,0.705,1.61,0.1641,8.0,12.57,13.16,7.5,7.85,76.6
8176,Industrial Products & Services,1.06,0.665,1.85,0.55,13.0,8.05,7.59,3.29,3.1,14.64
7048,Consumer Products & Services,3.76,3.72,4.49,2.03,38.0,9.78,2.6,20.0,5.32,4.82
5130,Real Estate Investment Trusts,1.01,0.805,1.241,1.2786,59.0,1.71,1.69,5.18,5.13,1.34
7099,Industrial Products & Services,0.445,0.375,0.59,1.64,4.0,11.11,24.97,0.0,0.0,6.77
8885,Consumer Products & Services,0.06,0.02,0.18,0.2338,-2.0,-3.56,-59.33,0.0,0.0,-15.23
7579,Industrial Products & Services,0.47,0.195,0.755,0.688,10.0,4.69,9.98,1.5,3.19,6.82
