code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
5036,EDARAN BERHAD,0.34,0.115,0.605,0.0,-14.54,0.0,1.7,1.27,0.28
5028,HEITECH PADU BERHAD,1.05,0.45,1.44,0.0,25.0,70.55,8.95,6.71,0.78
5011,MESINIAGA BERHAD,0.86,0.55,1.5,0.0,-51.0,59.23,6.85,5.14,0.86
5005,UNISEM (M) BERHAD,2.0,1.53,2.93,0.0,-89.84,35.43,13.54,10.15,1.99
4456,DAGANG NEXCHANGE BERHAD,0.185,0.07,0.31,2.3,7.5,31.6,1.12,0.84,0.15
4359,TURIYA BERHAD,0.075,0.06,0.165,0.0,1.5,0.0,0.4,0.3,0.09
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD,10.9,7.39,12.96,23.12,6.46,42.44,43.42,32.56,9.23
0166,INARI AMERTRON BERHAD,1.39,0.9,2.09,5.78,37.88,35.76,8.0,6.0,1.29
0143,KEY ASIC BERHAD,0.125,0.02,0.135,0.0,-0.5,0.0,0.6,0.45,0.06
0138,MY E.G. SERVICES BERHAD,1.3,0.765,1.7,37.1,161.16,0.0,2.78,2.08,1.07
0128,FRONTKEN CORPORATION BERHAD,2.26,0.985,2.68,8.06,27.65,3.7,9.34,7.0,1.54
0118,TRIVE PROPERTY GROUP BERHAD,0.005,0.005,0.02,0.0,4.18,0.0,0.0,0.0,0.01
0113,MMS VENTURES BERHAD,0.635,0.325,0.935,3.98,12.27,17.36,3.32,2.49,0.53
0097,VITROX CORPORATION BERHAD,8.14,6.09,9.57,6.92,31.4,16.15,38.85,29.14,7.24
0090,ELSOFT RESEARCH BERHAD,0.68,0.385,1.08,14.12,42.42,44.45,3.36,2.52,0.61
0083,NOTION VTEC BERHAD,0.81,0.273,0.92,2.33,20.34,13.28,4.29,3.22,0.49
0065,EXCEL FORCE MSC BERHAD,0.515,0.23,0.745,0.0,86.84,73.12,4.5,3.38,0.4
