code,category,price,NTA,52w low,52w high,market cap,ROE,P/E,EPS,EY,DPS,DY
6009,Financial Services,0.8,1.06,0.8,1.01,229.6M,-1.83,-41.0,-1.94,-2.42,6.25,7.81
7052,Consumer Products & Services,2.06,1.19,1.78,4.093,"1,355.3M",21.01,8.0,25.0,12.14,11.5,5.58
4081,Consumer Products & Services,0.09,0.4029,0.075,0.155,69.6M,-3.43,-7.0,-1.38,-15.33,0.5,5.56
1287,Consumer Products & Services,0.09,0.0373,0.045,0.13,83.6M,-0.8,-260.0,-0.03,-0.33,0.0,0.0
3719,Consumer Products & Services,26.98,13.09,22.82,41.2,"1,638.9M",13.73,15.0,179.68,6.66,226.0,8.38
8419,Industrial Products & Services,0.645,0.39,0.43,0.69,298.0M,6.33,26.0,2.47,3.83,1.0,1.55
5125,Industrial Products & Services,0.355,0.81,0.25,0.595,266.6M,6.59,7.0,5.34,15.04,1.5,4.23
5022,Consumer Products & Services,0.29,0.52,0.27,0.46,52.5M,-1.1,-51.0,-0.57,-1.97,1.6,5.52
3611,Industrial Products & Services,0.75,1.3,0.75,1.08,140.0M,0.88,66.0,1.14,1.52,0.0,0.0
9407,Consumer Products & Services,0.225,0.66,0.18,0.35,15.8M,7.27,5.0,4.8,21.33,0.0,0.0
1724,Property,0.695,1.88,0.63,1.3019999999999998,427.0M,9.01,4.0,16.93,24.36,8.5,12.23
5657,Consumer Products & Services,0.08,1.74,0.065,0.28,87.5M,-9.34,-0.0,-16.25,-203.12,0.0,0.0
6912,Property,0.185,0.82,0.15,0.42,74.1M,-4.99,-5.0,-4.09,-22.11,0.0,0.0
5212,Real Estate Investment Trusts,1.59,1.2677,1.35,1.92,"4,838.9M",6.81,18.0,8.63,5.43,8.5,5.35
5041,Utilities,0.825,2.05,0.725,1.2,273.3M,3.7,11.0,7.59,9.2,3.5,4.24
6068,Consumer Products & Services,0.225,0.6907,0.16,0.635,47.3M,9.28,4.0,6.41,28.49,1.0,4.44
6254,Transportation & Logistics,0.015,0.0641,0.01,0.045,10.2M,-22.93,-1.0,-1.47,-98.0,0.0,0.0
5271,Industrial Products & Services,0.745,0.9129999999999999,0.675,1.3,140.1M,9.42,9.0,8.6,11.54,6.0,8.05
4464,Property,0.005,0.0193,0.005,0.016,50.0M,-7.25,-4.0,-0.14,-28.0,0.0,0.0
7190,Telecommunications & Media,0.275,1.0329,0.23,0.37,27.5M,-0.86,-31.0,-0.89,-3.24,1.0,3.64
5231,Consumer Products & Services,0.3,0.73,0.185,0.59,182.4M,1.74,24.0,1.27,4.23,0.0,0.0
9997,Consumer Products & Services,0.2,0.88,0.19,0.42,25.9M,-0.94,-24.0,-0.83,-4.15,0.0,0.0
7160,Technology,3.78,0.9194,2.37,5.58,"1,795.0M",19.02,22.0,17.49,4.63,0.0,0.0
0186,Consumer Products & Services,0.18,0.2324,0.125,0.27,256.1M,12.01,6.0,2.79,15.5,0.95,5.28
7108,Energy,0.18,0.4,0.1,0.555,396.8M,-2.6,-17.0,-1.04,-5.78,0.0,0.0
7080,Consumer Products & Services,0.795,0.7,0.48,1.07,155.8M,-3.44,-33.0,-2.41,-3.03,0.0,0.0
8311,Construction,0.18,0.2635,0.13,0.26,125.1M,6.03,11.0,1.59,8.83,1.0,5.56
5219,Industrial Products & Services,0.885,0.7684,0.6,1.53,676.4M,14.17,8.0,10.89,12.31,0.0,0.0
5133,Energy,0.84,1.19,0.385,1.86,270.3M,16.34,4.0,19.44,23.14,6.0,7.14
3042,Energy,3.55,6.6147,2.49,6.91,958.5M,9.92,5.0,65.6,18.48,45.0,12.68
5183,Industrial Products & Services,4.78,3.74,4.0,9.2,"38,240.0M",9.41,14.0,35.19,7.36,18.0,3.77
5681,Consumer Products & Services,20.1,6.02,17.5,26.409000000000002,"19,968.4M",13.87,24.0,83.5,4.15,85.0,4.23
6033,Utilities,15.3,6.6939,13.36,18.387999999999998,"30,274.6M",14.61,16.0,97.8,6.39,82.0,5.36
7081,Health Care,1.5,1.29,0.91,2.88,391.8M,-44.28,-3.0,-57.12,-38.08,16.0,10.67
5622,Construction,0.7,1.04,0.65,0.9,48.4M,-1.36,-49.0,-1.41,-2.01,0.0,0.0
1902,Plantation,0.21,1.4,0.14,0.545,31.5M,37.49,0.0,52.49,249.95,0.0,0.0
9598,Construction,2.49,1.98,1.8,3.43,413.0M,15.43,8.0,30.55,12.27,20.0,8.03
7163,Industrial Products & Services,0.11,0.27,0.105,0.31,9.0M,2.63,15.0,0.71,6.45,0.0,0.0
7055,Property,1.36,1.38,0.98,1.6,152.9M,5.51,18.0,7.6,5.59,0.0,0.0
5075,Property,0.88,4.08,0.735,1.55,335.7M,2.01,11.0,8.2,9.32,4.5,5.11
9695,Plantation,0.54,0.551,0.35,1.31,189.4M,-4.54,-22.0,-2.5,-4.63,0.0,0.0
7172,Industrial Products & Services,2.88,2.61,2.4,3.451,604.2M,5.07,22.0,13.24,4.6,2.49,0.86
6637,Industrial Products & Services,0.46,0.44,0.36,0.57,60.5M,-15.75,-7.0,-6.93,-15.07,0.0,0.0
7088,Consumer Products & Services,0.795,1.5986,0.69,1.589,194.3M,12.02,4.0,19.22,24.18,0.0,0.0
5080,Consumer Products & Services,0.38,1.38,0.3,0.72,155.9M,6.12,4.0,8.45,22.24,1.2,3.16
8117,Industrial Products & Services,0.2,1.0541,0.2,0.475,32.0M,1.24,15.0,1.31,6.55,0.0,0.0
4634,Transportation & Logistics,0.72,1.85,0.52,2.0,563.6M,-24.63,-2.0,-45.57,-63.29,4.0,5.56
7237,Consumer Products & Services,1.9,0.66,1.255,2.431,780.1M,16.11,18.0,10.63,5.59,8.0,4.21
4065,Consumer Products & Services,16.32,15.07,15.0,19.96,"23,216.8M",5.38,20.0,81.02,4.96,31.0,1.9
8869,Industrial Products & Services,3.23,0.88,2.74,5.24,"13,043.1M",13.25,28.0,11.66,3.61,5.0,1.55
9873,Industrial Products & Services,0.285,1.46,0.21,0.745,58.4M,1.85,11.0,2.7,9.47,1.5,5.26
5204,Technology,0.195,0.2085,0.1,0.65,94.4M,-28.68,-3.0,-5.98,-30.67,0.0,0.0
7168,Consumer Products & Services,0.19,0.3961,0.055,1.3,78.9M,-28.1,-2.0,-11.13,-58.58,0.0,0.0
7123,Industrial Products & Services,0.015,0.07,0.005,0.08,61.4M,-42.86,-1.0,-3.0,-200.0,0.0,0.0
7201,Industrial Products & Services,0.075,0.12,0.06,0.145,49.4M,2.42,26.0,0.29,3.87,0.5,6.67
8966,Consumer Products & Services,0.575,1.32,0.305,1.1,104.1M,2.85,15.0,3.76,6.54,0.3,0.52
5070,Construction,0.18,0.6824,0.11,0.435,89.2M,1.77,15.0,1.21,6.72,1.2,6.67
5436,Industrial Products & Services,3.26,3.96,2.82,5.0,323.7M,8.34,10.0,33.04,10.13,30.0,9.2
1295,Financial Services,15.9,11.2295,12.58,23.9,"61,726.0M",12.64,11.0,141.97,8.93,73.0,4.59
8273,Industrial Products & Services,0.63,1.31,0.325,1.4,118.8M,9.56,5.0,12.53,19.89,0.25,0.4
6807,Construction,0.16,2.92,0.09,0.415,71.9M,-4.36,-1.0,-12.73,-79.56,0.0,0.0
7134,Consumer Products & Services,0.47,1.78,0.35,0.87,81.8M,2.12,12.0,3.77,8.02,2.0,4.26
7084,Consumer Products & Services,7.9,1.27,6.5,8.65,"12,817.3M",11.63,53.0,14.77,1.87,4.5,0.57
7544,Industrial Products & Services,0.9,1.75,0.72,1.43,52.2M,-6.67,-8.0,-11.67,-12.97,0.0,0.0
7498,Industrial Products & Services,0.24,0.88,0.18,0.32,11.1M,-6.25,-4.0,-5.5,-22.92,0.0,0.0
5272,Utilities,1.03,0.55,0.82,1.44,"1,105.1M",13.82,14.0,7.6,7.38,4.0,3.88
7765,Property,5.76,1.37,5.3,6.17,615.7M,3.39,124.0,4.65,0.81,0.0,0.0
9296,Financial Services,1.51,1.84,1.22,1.84,563.1M,15.45,5.0,28.42,18.82,9.0,5.96
5256,Energy,0.075,0.63,0.025,0.345,82.2M,-20.49,-1.0,-12.91,-172.13,0.0,0.0
5270,SPAC,0.505,0.017,0.505,0.505,505.0M,-92.94,-32.0,-1.58,-3.13,0.0,0.0
7232,Industrial Products & Services,0.235,1.0307,0.17,0.35,32.2M,4.01,6.0,4.13,17.57,2.5,10.64
9946,Consumer Products & Services,0.26,0.42,0.22,0.42,64.1M,-11.4,-5.0,-4.79,-18.42,0.0,0.0
0037,Consumer Products & Services,0.14,0.17,0.1,0.225,216.8M,15.12,5.0,2.57,18.36,0.3,2.14
9954,Industrial Products & Services,0.125,0.1114,0.085,0.2,72.1M,8.44,13.0,0.94,7.52,0.3,2.4
1066,Financial Services,4.66,6.43,4.23,6.07,"18,686.8M",9.63,8.0,61.91,13.29,20.5,4.4
5278,Consumer Products & Services,0.62,0.59,0.59,0.845,121.3M,7.49,14.0,4.42,7.13,3.0,4.84
